index_name,index_code,etfs,pe,pe_pct,pb,pb_pct,dividend,roe,drawdown,eva_type,eva_type_local
中概互联50,CSIH30533,513050.SS; KWEB,16.98,5.88,2.03,0.92,0.0112,0.1195,0.5914,low,low
恒生科技,HKHSTECH,3067.HK; 513180.SS,23.39,38.44,2.41,21.11,0.0105,0.1031,0.5864,mid,low
恒生指数,HKHSI,2800.HK; 159920.SZ,11.22,61.96,1.19,70.52,0.0341,0.1058,0.2366,high,mid
中证医疗,SZ399989,512170.SS,29.94,20.6,3.46,11.8,0.0141,0.1155,0.6623,low,low
全指医药,SH000991,159938.SZ,30.98,30.52,2.96,6.0,0.0181,0.0956,0.5755,mid,low
中证传媒,SZ399971,512980.SS,31.54,31.68,2.22,26.6,0.0186,0.0703,0.3722,mid,low
主要消费,SH000932,159928.SZ,23.27,21.6,3.45,2.0,0.0402,0.1482,0.5565,low,low
中证500,SH000905,510500.SS; 159922.SZ,33.07,77.16,2.4,77.32,0.0134,0.0725,0.157,high,high
中证1000,SH000852,159629.SZ,43.45,68.52,2.39,45.24,0.0108,0.055,0.1394,high,mid
创业板指,SZ399006,159915.SZ,38.08,31.44,5.33,59.96,0.0095,0.14,0.2412,high,mid
科创50,SH000688,588000.SS,140.45,82.4,7.58,88.7,0.0027,0.054,0.2713,high,high
证券行业,SZ399975,512880.SS,12.61,0.32,1.27,15.36,0.0202,0.1007,0.2009,low,low
沪深300,SH000300,510300.SS; 159919.SZ,13.64,70.08,1.44,43.56,0.0258,0.1053,0.2044,high,mid
全指信息,SH000993,159939.SZ,54.26,54.2,6.23,96.8,0.0062,0.1148,0.2686,high,high
中证环保,SH000827,512580.SS,29.5,55.36,2.49,38.04,0.018,0.0843,0.4167,high,mid
养老产业,SZ399812,159842.SZ,8.79,0.04,1.69,1.24,0.0261,0.1926,0.1941,low,low
中证红利,SH000922,515180.SS,8.76,84.04,0.86,52.88,0.0413,0.0983,0.0308,high,mid
中证红利低波动,CSIH30269,512890.SS,8.63,80.12,0.88,63.52,0.0417,0.1023,0.0338,high,high
纳斯达克100,NDX,QQQ; 513100.SS,30.02,45.8,9.15,78.2,0.0044,0.305,0.0491,high,mid
标普500,SP500,SPY; 513500.SS,25.08,57.0,5.5,94.08,0.0103,0.2192,0.016,high,high
德国DAX,GDAXI,DAXEX.DE; 513030.SS,17.46,48.68,1.76,60.16,0.001,0.1008,0.0205,high,mid
